cod_mun,nome_mun_rqual,uf_rqual,kmeans_cluster,lof_score,lof_outlier,shap_dominante,shap_dominante_valor
2513653,Joca Claudino,PB,2,1.2156842427567238,False,lat,0.28041557480887935
2513703,Santa Rita,PB,2,1.0694368769760054,False,lat,0.2709775066585649
2513802,Santa Teresinha,PB,2,1.1092609554195603,False,lat,0.3082088109140403
2513851,Santo André,PB,2,1.0906886977363954,False,lat,0.2559019955629358
2513901,São Bento,PB,2,0.9930645620720737,False,lat,0.24447730876948598
2513927,São Bentinho,PB,2,1.1342742944930293,False,lat,0.25950482706691513
2513943,São Domingos do Cariri,PB,2,1.1951933176667995,False,lat,0.23052102192439336
2513968,São Domingos,PB,2,1.0449099752422217,False,lat,0.24318314517050885
2513984,São Francisco,PB,2,0.9924604569742819,False,lat,0.21658652186352984
2514008,São João do Cariri,PB,2,1.0214198870279565,False,lat,0.2682934825073727
2514107,São João do Tigre,PB,2,1.0008628478562236,False,lat,0.2251793456585899
2514206,São José da Lagoa Tapada,PB,2,1.0151440875721414,False,lat,0.21201456861044182
2514305,São José de Caiana,PB,2,1.2771329700015908,True,lat,0.22599210731314823
2514404,São José de Espinharas,PB,2,0.9886338452389232,False,lat,0.2375228599703503
2514453,São José dos Ramos,PB,2,0.9949650377860928,False,lat,0.23012413018509953
2514503,São José de Piranhas,PB,2,1.0525726546097567,False,idhm,0.27792785858501523
2514552,São José de Princesa,PB,2,1.054274931733804,False,lat,0.22099040308745654
2514602,São José do Bonfim,PB,2,0.9727998656157896,False,idhm,0.2825624042620222
2514651,São José do Brejo do Cruz,PB,2,0.9823857633861636,False,lat,0.2702097519742343
2514701,São José do Sabugi,PB,2,1.1895090571369134,False,lat,0.30289136273678885
2514800,São José dos Cordeiros,PB,2,1.004334063696177,False,lat,0.23052513464982438
2514909,São Mamede,PB,2,0.9980563741299802,False,lat,0.34507410847645165
2515005,São Miguel de Taipu,PB,2,1.0320864375706864,False,lat,0.2091193645301249
2515104,São Sebastião de Lagoa de Roça,PB,2,1.036554719802577,False,lat,0.2028813814242626
2515203,São Sebastião do Umbuzeiro,PB,2,1.1731377741105116,False,lat,0.2504074974323937
2515302,Sapé,PB,2,1.1866767678422236,False,lat,0.21095691034466998
2515401,São Vicente do Seridó,PB,2,0.9845945283510668,False,lat,0.20557108875701474
2515500,Serra Branca,PB,2,1.0655816370798648,False,lat,0.2761593997868548
2515609,Serra da Raiz,PB,2,1.2178075017927186,False,lat,0.2713514521928641
2515708,Serra Grande,PB,2,1.0085436287564051,False,lat,0.241563229252958
2515807,Serra Redonda,PB,2,1.0905125575796877,False,lat,0.21806272440764518
2515906,Serraria,PB,2,1.0094400280446305,False,lat,0.22957293921234087
2515930,Sertãozinho,PB,2,1.0885061826263827,False,lat,0.24341171252499674
2515971,Sobrado,PB,2,1.3765157798005039,True,lat,0.20328826850578932
2516003,Solânea,PB,2,1.0092299353122722,False,lat,0.22368528155965253
2516102,Soledade,PB,2,1.0274975027781637,False,lat,0.2379827467502992
2516151,Sossêgo,PB,2,1.011472120850912,False,lat,0.2209571320990242
2516201,Sousa,PB,2,1.019097208354918,False,lat,0.391759864784765
2516300,Sumé,PB,2,1.00210255436565,False,lat,0.29711140960798615
2516409,Tacima,PB,2,1.1635037418735477,False,lat,0.21548750813936463
2516508,Taperoá,PB,2,0.9898448119814607,False,lat,0.20583315122639
2516607,Tavares,PB,2,1.014354817702802,False,lat,0.19157381735193604
2516706,Teixeira,PB,2,0.9837344402177619,False,lat,0.2382758026524079
2516755,Tenório,PB,2,1.066017868746702,False,lat,0.2146194185114906
2516805,Triunfo,PB,2,1.0718893500483933,False,idhm,0.2129830850608313
2516904,Uiraúna,PB,2,0.9854157996289945,False,lat,0.3298369802529634
2517001,Umbuzeiro,PB,2,1.0516403901668336,False,lat,0.20478724388075562
2517100,Várzea,PB,2,1.1452664386774958,False,lat,0.3925486848963653
2517209,Vieirópolis,PB,2,0.9902213026131061,False,lat,0.2176332095637347
2517407,Zabelê,PB,2,1.0076995938263338,False,lat,0.296898613836501
2600054,Abreu e Lima,PE,2,1.2252836616050284,False,lat,0.39299470619381827
2600104,Afogados da Ingazeira,PE,2,1.0919067506328832,False,lat,0.3563641765260719
2600203,Afrânio,PE,2,1.247308589362615,False,lat,0.2087586863088454
2600302,Agrestina,PE,2,1.0897010921249217,False,lat,0.2132656447047604
2600401,Água Preta,PE,2,1.0954214248209206,False,lat,0.19042660671705453
2600500,Águas Belas,PE,2,1.0821385159194254,False,idhm,0.17675225890737226
2600609,Alagoinha,PE,2,1.0363371393058904,False,idhm,0.23464883795881702
2600708,Aliança,PE,2,1.085410120054813,False,lat,0.2003967003546614
2600807,Altinho,PE,2,0.9776760258086196,False,lat,0.21057996173164556
2600906,Amaraji,PE,2,1.0903555931398419,False,lat,0.22230336638095097
2601003,Angelim,PE,2,1.0662847284255161,False,lat,0.22429604772348832
2601052,Araçoiaba,PE,2,1.1441571637185266,False,lat,0.22541955302585523
2601102,Araripina,PE,2,0.9823900670422153,False,lat,0.2263216006042772
2601201,Arcoverde,PE,2,1.0333995025509526,False,lat,0.3991359146973763
2601300,Barra de Guabiraba,PE,2,0.9851074193529398,False,lat,0.21136174486104442
2601409,Barreiros,PE,2,0.9513452271562762,False,lat,0.21813908517657501
2601508,Belém de Maria,PE,2,1.0377930281027719,False,lat,0.19886934040649296
2601607,Belém do São Francisco,PE,2,0.997807034575164,False,lat,0.35123929909713825
2601706,Belo Jardim,PE,2,1.124368151377054,False,lon,0.21885727735174104
2601805,Betânia,PE,2,1.1136887554834354,False,lat,0.19093390363192356
2601904,Bezerros,PE,2,1.0385816506926506,False,idhm,0.26061168474516166
2602001,Bodocó,PE,2,0.9963055461069406,False,lat,0.1793307724544089
2602100,Bom Conselho,PE,2,1.028672349670592,False,lat,0.19181212722493032
2602209,Bom Jardim,PE,2,1.122225920612709,False,lat,0.20816396367246529
2602308,Bonito,PE,2,1.034324123765805,False,lat,0.20504248087990934
2602407,Brejão,PE,2,1.007351304424258,False,lat,0.2753837269424768
2602506,Brejinho,PE,2,0.9719940377837805,False,lat,0.22455021017198523
2602605,Brejo da Madre de Deus,PE,2,1.0050465628709297,False,lat,0.19027896124971214
2602704,Buenos Aires,PE,2,1.0170215732094159,False,lat,0.2244971277225915
2602803,Buíque,PE,2,1.5040834500391465,True,idhm,0.18405371112983498
2602902,Cabo de Santo Agostinho,PE,0,1.1572660981936314,False,pib_industria,0.37452424160864034
2603009,Cabrobó,PE,2,0.9920311399172403,False,lat,0.23287261460679523
