cod_mun,nome_mun_rqual,uf_rqual,kmeans_cluster,lof_score,lof_outlier,IND2,IND4,IND5,IND8,IND9,INF1,INF4-UP,pib_agropecuaria,pib_industria,pib_per_capita,area_km2,densidade,pop_rural,idhm
2610707,Paulista,PE,0,1.7048771027960012,True,-0.6051458048050921,0.15003368203277248,0.5742944033358705,-3.0589404385207324,0.2097599543070795,-0.4662912474804857,1.2200519412722772,-0.3823194000815406,0.2071971216681824,-0.41220183656792136,-0.25486440236032987,3.5477849925429203,-0.7931321402157439,1.0107459901736848
5008305,Três Lagoas,MS,0,1.609162589453637,True,-0.5553739889259667,0.012903647720844472,0.2563285986209339,0.6121588605220801,0.32685462527254594,-0.19192723971572356,1.3581973403385317,3.9045488041455125,2.917170281258673,1.68177417218774,1.5505567902480064,-0.17323732138248438,0.03774460394327013,1.17740261339868
1502152,Canaã dos Carajás,PA,0,1.5809231155856938,True,2.387874721468718,-0.693254270074029,-0.5395501830255497,-2.6124958218530168,-1.3552636394130617,1.0610719042475996,-0.33792124886511526,0.020408637728110638,2.917170281258673,3.9713486020294995,0.28923229786315974,-0.15380806302789427,0.564326228812879,0.19135092598412712
5205109,Catalão,GO,0,1.5709090029905364,True,-0.7743381272587394,0.0849578154222335,0.5424538991009952,0.3867197690306187,0.4573630765997157,-0.4754938044129372,1.3667805025546593,3.5356720243425688,1.5797397455637883,1.2840872730025843,0.41046306020899337,-0.14471530457648143,-0.03257418544334772,1.4829397559778377
4208302,Itapema,SC,0,1.5428668407032193,True,-0.7377543637662969,-0.10786220389934181,0.6329791077995172,-2.338078659738546,0.10521709406589218,-0.8575154721950667,1.7321586689745874,-0.4006475778314211,0.1356228238196288,0.1861008162821599,-0.26177236275693905,1.9976965753553921,-0.6424233281799746,1.8995813140403255
3523404,Itatiba,SP,0,1.5114040892063803,True,-0.42966659596354384,0.2148549377984014,0.8863382058641202,0.4226992294023,0.9586989370755196,-0.7369906419264498,2.3538597465800355,3.0688128196006996,0.9578067732772886,0.7752261433932249,-0.2146645399593505,0.43915407775925014,-0.02124404802299753,1.6495963792028328
3170107,Uberaba,MG,0,1.5096822849399054,True,-0.47477064516986683,-0.8176547265756259,0.24750233601785598,0.4955303556408901,0.7334479295339156,-0.7249605438498559,0.7833006724007199,3.9045488041455125,2.72885532010094,0.6221279438134175,0.5349117810702456,-0.06945213942781835,0.5152289666580282,1.5662680675903353
3147006,Paracatu,MG,0,1.5072635325132593,True,-0.42391056849862585,0.34479800235181896,0.30003471298844364,-0.042137995710985275,0.06642298169670256,-0.34600507384508966,1.2596586910804066,3.9045488041455125,1.3944939155491716,1.0086952008477221,1.1962491748871655,-0.1757752262367604,0.9707724283365525,1.17740261339868
1501303,Barcarena,PA,0,1.4901583886612706,True,0.14728604893240332,0.018924878569614768,-0.6758446673490508,0.26628458496942803,0.247490036379923,0.06245456935920679,-0.47398997048728764,0.3157673164045694,2.048878332511628,0.8972508595908164,-0.03839416340035996,-0.032526464163947715,3.1569494201107897,0.038582354694548265
2910800,Feira de Santana,BA,0,1.4571457436518676,True,-0.5935654965851584,-0.21194332969797128,0.5964647993189333,0.3598380021891909,0.3234755185891451,-0.6961945011580388,1.570354286766127,-0.08602630210377568,1.579871490219544,-0.1474681660695523,-0.03944903581978949,0.599092505529388,3.894487413140252,0.7329849514653597
5218805,Rio Verde,GO,0,1.4278425495182423,True,-0.6885209905090545,-0.005338202276175907,0.8180324791617484,0.4399718886281063,0.7844963145721636,-0.5309161136657836,2.495306446422513,3.9045488041455125,1.4857665231935084,0.7653981177948628,1.2218005290466805,-0.14967346306662335,1.5299057178582787,1.3162831327528426
2501807,Bayeux,PB,0,1.4235925087024353,True,-0.8051658632862642,-0.4421332771197588,0.015925015419168347,0.19187995947729977,0.39407695212430915,1.0127764806296717,0.2107263182983488,-0.4207812788705822,-0.11638746798111325,-0.47377064207118885,-0.2646008765756529,3.5477849925429203,-0.7584223541502266,-0.1419623204658631
3515707,Ferraz de Vasconcelos,SP,0,1.408631472747769,True,-0.26561602136393375,-0.4591515221059234,0.7939967824362419,-1.6446788322580908,0.9451860478542823,-0.49167319243561075,2.6836935400548922,-0.42968756187085494,0.5653853921650753,-0.2388083393949147,-0.2646008765756529,3.5477849925429203,-0.5559186281928565,1.0940743017861825
