cod_mun,nome_mun_rqual,kmeans_cluster,IND2,IND4,IND5,IND8,IND9,INF1,INF4-UP,pib_agropecuaria,pib_industria,pib_per_capita,area_km2,densidade,lat,lon,pop_rural,idhm
1100015,Alta Floresta D'Oeste,3,-0.0016677768363094815,-0.010356592774021454,0.0645041840528844,0.005079559793401994,0.001638857038384214,-0.001733356229241138,0.0020018449236246733,0.021180636745614233,0.010730422872723546,-0.001997511763061515,0.2208696910829435,0.045340587086037665,0.033844795486487875,0.11101959790591108,0.07684323059916406,0.019410981623705317
1100023,Ariquemes,2,0.0028878021888392317,0.008373532232310334,0.04062387609604957,0.002335892695614427,-0.002945997583177981,0.0017892879599010016,0.0037846621788421124,-0.02138208318332464,0.009401583766479104,-0.02962814962161893,0.01849571244630189,0.014778422334473526,0.23920815218223593,0.02441464452407417,0.04484406002534419,-0.1269798764276952
1100031,Cabixi,2,0.002844437988377581,0.0005454493695669308,0.05720665345003862,0.0082521194430765,0.003004573944719136,0.0010292925439993903,0.004461895765284721,-0.005271348420365615,0.002821671689809433,-0.0704050362721441,0.022160718747257366,-0.005696028098575724,0.04942387348481637,0.17682848544829038,-0.0066120380865244,-0.041254480439848924
1100049,Cacoal,2,0.002301236865718946,0.004993618995072054,0.010488362300996527,0.0016417479566463436,-0.0005143803660573768,0.0006192689583385461,0.010198934802976484,-0.015780015394254155,0.014156750700677847,-0.035045274783585684,0.024600291988337655,0.015286353302982099,0.0765239859151081,0.1872921472780625,0.06353852545236498,-0.10857109266857658
1100056,Cerejeiras,2,0.004888540005340789,0.004883898483854986,0.05129289970767903,0.0007345426338818592,0.0028283297345996295,0.001214055312483436,0.0007795737973236123,0.0018905001758410366,0.008670226706853999,-0.0324751379058631,0.03671859383836077,0.008628637212182032,0.03754958092223516,0.29362205240236344,-0.00839228465940301,-0.10959087944731623
1100064,Colorado do Oeste,2,0.0011765766694104387,0.003659579897826078,0.05745676070053355,0.0020993059705227374,0.0014334763073985005,0.0027129808256309146,0.001583434867814388,0.003733781902251631,0.009042801112759485,-0.022865337943840755,0.03949436146623945,0.010508919146426678,0.0683836868266819,0.2837771712633147,0.01933338309838231,-0.09934865525183562
1100072,Corumbiara,2,0.00578813434205089,0.011211081288875178,0.06301630771172254,0.004125781697554999,0.0021919347599577933,0.002102064620648344,5.9216838995990226e-05,-0.021289858689436888,0.008436746114460941,-0.0600844309357641,0.04908001902729115,-0.02549316466157432,0.044111941201676524,0.07317275865446916,0.023556829248958213,0.13908402368855186
1100080,Costa Marques,2,-0.0012474452687882501,0.004415033371916168,0.034919979732833256,0.004292914818907022,0.0029016597870997114,0.0014020766570568314,-0.007104203695140091,-0.005314372255184087,0.004048756590347731,0.021862779928048474,-0.017992476546290073,-0.05826055912168995,0.026202919153018332,0.13828536923676588,0.037828610970085254,0.20863994797135452
1100098,Espigão D'Oeste,2,0.0047377554907412234,0.005010630633110311,0.023497275331033258,7.092744196391574e-05,0.0016593284893967383,0.0031273952485463257,-0.0027595981119099148,-0.009462668576514406,0.010614465940566184,-0.018625285467091423,0.024862148573137816,0.006051787763795223,0.0826339171555276,0.20507481039311634,0.0486550566105141,-0.06074856683926598
1100106,Guajará-Mirim,3,0.00014411545083084618,-0.0011700080499064934,0.05766583129906733,0.001476447219701008,0.0007832465208900358,-0.004083544941514505,0.004843674481493448,0.006709713563803275,0.01569677380951344,0.014295424317478734,0.4992985840950228,0.08440100453319911,0.013083159731718991,0.0842615467032789,0.06731298459292169,-0.008394687043763118
