cod_mun,uf,nome_mun,IND2,IND4,IND5,IND8,IND9,INF1,INF4-DL,INF4-UP
1100015,RO,Alta Floresta D'Oeste,-0.4989967713051501,0.27234350644180366,-0.656163720351577,-1.2285248670301272,0.9405951616035217,-1.1230983515211246,-0.2597393845943441,0.43489829931934865
1100023,RO,Ariquemes,-0.5837825250044677,0.11507554288631305,-0.5384484424027436,0.3991354132412711,0.8619164618652337,-0.10253496320499976,0.05873634455905398,0.2818651917060818
1100031,RO,Cabixi,-0.5493668071974859,0.9358756759888079,-1.4047934595191123,-2.640327205940621,-0.2842104498829313,-0.08090675563444835,-0.6258447628292642,-0.7509614392469757
1100049,RO,Cacoal,-0.7251654235926946,0.16203265647856632,0.1516530279609036,0.22271339550313857,0.6058709487162479,-0.7795293878368671,1.4887811287622317,2.62627714472881
1100056,RO,Cerejeiras,-0.6883844839288583,0.8601107130395379,-1.480758812118971,0.2834665085920556,-0.9940117269656445,-0.2562244903032877,-0.5720403717250584,-0.7119301460106767
1100064,RO,Colorado do Oeste,-0.5123289139709283,0.9563732518183925,-0.8759634130668383,0.6620033656566897,0.03548127431578034,-0.802260062111519,-0.4166542291349874,-0.7007470023396535
1100072,RO,Corumbiara,-0.6866402331819135,0.1469913279286832,-2.1097546128429934,0.18801194570989538,-0.847229433300766,0.1720909264926179,-0.7494299598101405,-0.6988382287686978
1100080,RO,Costa Marques,-0.8675797052312891,0.9077969395058427,-0.3970614210632593,0.22931199076157255,-0.1808247397672685,0.3543636068589653,-0.5487090759905938,-0.7449628708023096
1100098,RO,Espigão D'Oeste,-0.5815453338290384,0.4772100205528185,0.03000192353381878,-0.3689986445597754,0.4746111784245142,0.7766293427333357,-0.2966048951093017,-0.7229739816318028
1100106,RO,Guajará-Mirim,-0.5343140570813327,-0.08136093240314207,-1.1305027364508593,0.046638321095133245,0.6920225443755668,-0.9894420929804051,-0.6933295570021073,-0.7078826139427533
1100114,RO,Jaru,-0.2768398957355785,-1.534231786579936,-0.8172215815031632,0.295377740312046,0.5793699262138426,-0.9798931180204015,2.349648822155286,2.8367723173281534
1100122,RO,Ji-Paraná,-0.45391168134607646,0.09894142178445903,0.3420724228934012,0.4943285295425159,0.46864912625539107,-0.5090231035149797,1.8222651984697376,2.8891598751991925
1100130,RO,Machadinho D'Oeste,-0.3875694833709753,-1.369511896663558,-1.7154679715968613,-0.5288512588639862,0.26606497058599865,-0.6110713899839243,-0.7074512406706702,-0.6309721593186693
1100148,RO,Nova Brasilândia D'Oeste,-0.6683104329411934,-0.15302336413516385,-0.7152619016802428,-0.3504896944710393,0.5645077884946459,-0.34046652453471266,-0.43208695366178596,-0.2010473404644223
1100155,RO,Ouro Preto do Oeste,-0.6523315793593989,-0.07294720130098825,-0.6017075742462343,0.018962133595240828,0.9865861423717902,-1.0560695015074422,-0.02377546081554167,0.21909513541661163
1100189,RO,Pimenta Bueno,-0.7693480533826969,0.8220975944578393,0.04534926005697833,0.21401416216760163,0.10692052943174118,0.6818821222607383,-0.10661966592841177,0.0911073083114966
1100205,RO,Porto Velho,-0.7921370685764759,0.16952052996287573,-0.20258396438033208,0.34572144150088996,0.5762133967034171,-0.8177479327273587,0.940118656719634,1.252285394615446
1100254,RO,Presidente Médici,-0.5985859052567993,0.3486757325338231,-0.3268851254252017,0.40248675237003334,0.3750015219893611,0.210271994257019,-0.5335723130927227,-0.3767134388303178
1100262,RO,Rio Crespo,0.022560545406475747,-0.2680612900534421,-1.2456381743497549,-0.3919073888955934,-0.15533155649837793,-0.3450145054666322,-1.0161736562951555,-0.659577674284568
1100288,RO,Rolim de Moura,-0.7403328213922148,0.03934740381957214,-0.2925835964203282,0.6653103360711239,0.5427375240703453,-1.0530183031403773,1.8484244372872527,2.8825913934865
1100296,RO,Santa Luzia D'Oeste,-0.37202869992562587,0.5957681927395466,0.01860164381102491,0.6575454774646984,0.3717040775907032,-1.7068749099518492,0.2974171768290071,0.014898054424386038
1100304,RO,Vilhena,-0.5489505959578697,0.18855812652614157,0.449043396509446,0.3481063477437731,0.5947845643836657,-0.9790263188630604,2.0165947766858063,3.0976382101481468
1100320,RO,São Miguel do Guaporé,1.9396174469016991,0.4694954171632287,-1.5363611256239111,-0.2406691201289296,1.4360268055160963,0.21627800471749312,-0.5514388938576206,-0.7055195152095874
1100338,RO,Nova Mamoré,-0.874761468089362,0.17282748996570105,-0.4368296596504665,-0.43482894921623094,0.4563882231970764,-0.7520600982965531,-0.7412518975042404,-0.7001755860477114
1100346,RO,Alvorada D'Oeste,-0.7583365225802452,0.9875195930677507,-0.7481222153801819,0.3352117718745927,-0.7525315338701292,0.47274495167058367,-0.7837591811937171,-0.5708298347296705
1100379,RO,Alto Alegre dos Parecis,-0.9778087687393018,-0.10876000522573535,-0.6153781269663768,-0.1823994318447267,-0.16459665871283624,-0.1963929857271191,-0.3414403672130171,-0.6628259580771264
1100403,RO,Alto Paraíso,-0.5525962630737854,0.44995333340933086,-0.19070367298647253,-0.02832479015497956,-0.3483004009548153,-0.05512964433735838,-0.5851270466812798,-0.4583064169424933
1100452,RO,Buritis,-0.6744456453510993,-0.760950243602335,-1.3215969188050585,0.34121188988864887,0.32123758021557575,-0.23590723630269667,-0.22940283682786533,-0.450946392735377
