cod_mun,uf_rqual,nome_mun_rqual,IND2,IND4,IND5,IND8,IND9,INF1,INF4-UP,Código da Grande Região,"Valor adicionado bruto da Agropecuária, 
a preços correntes
(R$ 1.000)","Valor adicionado bruto da Indústria,
a preços correntes
(R$ 1.000)","Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)",POP__Área da unidade territorial (Quilômetros quadrados),POP__Densidade demográfica (Habitante por quilômetro quadrado),LAT__lat,LAT__lon,LAT__capital,LAT__siafi_id,LAT__ddd,URB__Rural,IDHM__IDHM 2010
1100015,RO,Alta Floresta D'Oeste,-0.49899677130515036,0.27234350644180405,-0.6561637203515769,-1.2285248670301292,0.9405951616035217,-1.1230983515211244,0.43489829931934865,-1.7439989958065492,0.8585416570869104,-0.15596425019897509,-0.029860191491502423,0.9886103927598423,-0.18985975781214665,0.7379786266801371,-1.4212127713773115,-0.06978634516405739,-1.4710323651477268,0.468105881284533,0.7038847468794147,-0.25306673594919316
1100023,RO,Ariquemes,-0.583782525004468,0.1150755428863132,-0.5384484424027435,0.3991354132412717,0.8619164618652337,-0.10253496320499973,0.2818651917060818,-1.7439989958065492,0.7813294853794778,0.02285606925767501,-0.11914017318298459,0.5175382303449684,-0.1581947727429012,-2.894337855707836,-1.4950071953468131,-0.06978634516405739,-1.4795565191668627,0.468105881284533,1.4876425068458612,0.5941044321111971
1100031,RO,Cabixi,-0.5493668071974862,0.9358756759888092,-1.404793459519112,-2.640327205940625,-0.2842104498829313,-0.08090675563444834,-0.7509614392469757,-1.7439989958065492,0.12768383498287897,-0.16528705131177165,0.31450606575401113,-0.03767807040330428,-0.1881286041698259,0.6726852440705288,2.5587982740298627,-0.06978634516405739,-1.4697209568370904,0.468105881284533,-0.3784131419407035,-0.12807426853044684
1100049,RO,Cacoal,-0.7251654235926951,0.16203265647856652,0.15165302796090357,0.22271339550313893,0.6058709487162479,-0.7795293878368669,2.62627714472881,-1.7439989958065492,0.9833237517029622,-0.05727757224892458,-0.037176568127828095,0.4045098904751251,-0.15646361910058046,0.7585730150144153,-1.3828570309589177,-0.06978634516405739,-1.4789008150115446,0.468105881284533,1.8651339107397509,0.8163132630778572
1100056,RO,Cerejeiras,-0.6883844839288588,0.8601107130395391,-1.4807588121189708,0.2834665085920561,-0.9940117269656445,-0.2562244903032876,-0.7119301460106767,-1.7439989958065492,0.1905274400321833,-0.15616970257935767,0.2938416325970392,0.22438056832089015,-0.18537220419564532,1.1802827207517121,-1.3373651733749419,-0.06978634516405739,-1.4729994776136812,0.468105881284533,-0.509878704706989,0.4552239127570345
1100064,RO,Colorado do Oeste,-0.5123289139709286,0.9563732518183937,-0.8759634130668382,0.6620033656566908,0.03548127431578034,-0.8022600621115188,-0.7007470023396535,-1.7439989958065492,0.07276464477550239,-0.15551700278545283,-0.14191228212198845,-0.013289519969451527,-0.17683408720245172,0.6884061830196306,-1.3180556798680747,-0.06978634516405739,-1.4743108859243175,0.468105881284533,-0.11781998127264916,0.3580075492091222
1100072,RO,Corumbiara,-0.6866402331819139,0.14699132792868339,-2.109754612842993,0.18801194570989568,-0.847229433300766,0.17209092649261787,-0.6988382287686978,-1.7439989958065492,0.6464016762214357,-0.16250507489187382,0.5341651103520741,0.27380079705466087,-0.19083458219325933,0.6951723150573904,-1.3429075814227862,-0.06978634516405739,-1.1602285955269211,0.468105881284533,0.023357127853936555,-0.6419321901408485
1100080,RO,Costa Marques,-0.8675797052312897,0.907796939505844,-0.39706142106325926,0.22931199076157294,-0.1808247397672685,0.3543636068589652,-0.7449628708023096,-1.7439989958065492,0.04458224792478252,-0.16596406379750608,-0.41578772490171234,0.6175496978854229,-0.19071693097484915,0.7167839160948192,2.5326443690441423,-0.06978634516405739,-1.4749665900796358,0.468105881284533,0.24240645131404023,-0.669708294011681
1100098,RO,Espigão D'Oeste,-0.5815453338290388,0.47721002055281914,0.030001923533818774,-0.368998644559776,0.4746111784245142,0.7766293427333355,-0.7229739816318028,-1.7439989958065492,0.4026794200358818,-0.1432822939262792,-0.24915821339532637,0.5338558382576962,-0.18402761884238647,0.7547251161414317,-1.3521923599881738,-0.06978634516405739,-1.4736551817689993,0.468105881284533,0.602992570802963,0.17746287404871086
1100106,RO,Guajará-Mirim,-0.5343140570813331,-0.08136093240314218,-1.130502736450859,0.04663832109513332,0.6920225443755668,-0.9894420929804048,-0.7078826139427533,-1.7439989958065492,-0.11989872374730857,-0.1499988320214513,-0.27222238563753487,3.196371307985438,-0.19231362608184402,0.7854791247936526,-1.658440642416175,-0.06978634516405739,-1.4815236316328173,0.468105881284533,0.546881414054562,-0.030857904982533033
