cod_mun,nome_mun_rqual,uf_rqual,kmeans_cluster,hdbscan_cluster,hdbscan_noise,perfil_hdbscan,IND2,IND4,IND5,IND8,IND9,INF1,INF4-UP
1100015,Alta Floresta D'Oeste,RO,3,3000,False,C3-amazônia-profunda,-0.49899677130515036,0.27234350644180405,-0.6561637203515769,-1.2285248670301292,0.9405951616035217,-1.1230983515211244,0.43489829931934865
1100023,Ariquemes,RO,2,-1,True,C2-nordeste-periférico,-0.583782525004468,0.1150755428863132,-0.5384484424027435,0.3991354132412717,0.8619164618652337,-0.10253496320499973,0.2818651917060818
1100031,Cabixi,RO,2,-1,True,C2-nordeste-periférico,-0.5493668071974862,0.9358756759888092,-1.404793459519112,-2.640327205940625,-0.2842104498829313,-0.08090675563444834,-0.7509614392469757
1100049,Cacoal,RO,2,-1,True,C2-nordeste-periférico,-0.7251654235926951,0.16203265647856652,0.15165302796090357,0.22271339550313893,0.6058709487162479,-0.7795293878368669,2.62627714472881
1100056,Cerejeiras,RO,2,-1,True,C2-nordeste-periférico,-0.6883844839288588,0.8601107130395391,-1.4807588121189708,0.2834665085920561,-0.9940117269656445,-0.2562244903032876,-0.7119301460106767
1100064,Colorado do Oeste,RO,2,-1,True,C2-nordeste-periférico,-0.5123289139709286,0.9563732518183937,-0.8759634130668382,0.6620033656566908,0.03548127431578034,-0.8022600621115188,-0.7007470023396535
1100072,Corumbiara,RO,2,-1,True,C2-nordeste-periférico,-0.6866402331819139,0.14699132792868339,-2.109754612842993,0.18801194570989568,-0.847229433300766,0.17209092649261787,-0.6988382287686978
1100080,Costa Marques,RO,2,-1,True,C2-nordeste-periférico,-0.8675797052312897,0.907796939505844,-0.39706142106325926,0.22931199076157294,-0.1808247397672685,0.3543636068589652,-0.7449628708023096
1100098,Espigão D'Oeste,RO,2,-1,True,C2-nordeste-periférico,-0.5815453338290388,0.47721002055281914,0.030001923533818774,-0.368998644559776,0.4746111784245142,0.7766293427333355,-0.7229739816318028
1100106,Guajará-Mirim,RO,3,3000,False,C3-amazônia-profunda,-0.5343140570813331,-0.08136093240314218,-1.130502736450859,0.04663832109513332,0.6920225443755668,-0.9894420929804048,-0.7078826139427533
1100114,Jaru,RO,2,-1,True,C2-nordeste-periférico,-0.2768398957355787,-1.5342317865799382,-0.8172215815031629,0.29537774031204644,0.5793699262138426,-0.9798931180204011,2.8367723173281534
1100122,Ji-Paraná,RO,2,-1,True,C2-nordeste-periférico,-0.45391168134607673,0.09894142178445915,0.3420724228934011,0.49432852954251666,0.46864912625539107,-0.5090231035149795,2.8891598751991925
1100130,Machadinho D'Oeste,RO,3,3000,False,C3-amazônia-profunda,-0.3875694833709756,-1.3695118966635598,-1.7154679715968608,-0.528851258863987,0.26606497058599865,-0.6110713899839241,-0.6309721593186693
1100148,Nova Brasilândia D'Oeste,RO,2,-1,True,C2-nordeste-periférico,-0.6683104329411939,-0.15302336413516404,-0.7152619016802426,-0.35048969447103984,0.5645077884946459,-0.34046652453471254,-0.2010473404644223
1100155,Ouro Preto do Oeste,RO,2,-1,True,C2-nordeste-periférico,-0.6523315793593993,-0.07294720130098835,-0.6017075742462342,0.01896213359524086,0.9865861423717902,-1.056069501507442,0.21909513541661163
1100189,Pimenta Bueno,RO,2,-1,True,C2-nordeste-periférico,-0.7693480533826973,0.8220975944578403,0.04534926005697832,0.214014162167602,0.10692052943174118,0.6818821222607381,0.0911073083114966
1100205,Porto Velho,RO,4,-1,True,C4-capitais,-0.7921370685764764,0.16952052996287595,-0.20258396438033202,0.3457214415008905,0.5762133967034171,-0.8177479327273585,1.252285394615446
1100254,Presidente Médici,RO,2,-1,True,C2-nordeste-periférico,-0.5985859052567997,0.34867573253382356,-0.32688512542520165,0.402486752370034,0.3750015219893611,0.21027199425701895,-0.3767134388303178
1100262,Rio Crespo,RO,2,-1,True,C2-nordeste-periférico,0.02256054540647576,-0.2680612900534425,-1.2456381743497547,-0.39190738889559407,-0.15533155649837793,-0.3450145054666321,-0.659577674284568
1100288,Rolim de Moura,RO,2,-1,True,C2-nordeste-periférico,-0.7403328213922152,0.03934740381957219,-0.29258359642032816,0.665310336071125,0.5427375240703453,-1.0530183031403768,2.8825913934865
1100296,Santa Luzia D'Oeste,RO,2,-1,True,C2-nordeste-periférico,-0.3720286999256261,0.5957681927395474,0.018601643811024908,0.6575454774646994,0.3717040775907032,-1.7068749099518485,0.014898054424386038
