pair_rank_global,cluster_id,cluster_nome,cod_mun_a,nome_a,uf_a,cod_mun_b,nome_b,uf_b,dist_socio,dist_rqual,divergencia,indicador_dominante,divergencia_ponderada,IND2_a,IND4_a,IND5_a,IND8_a,IND9_a,INF1_a,INF4-UP_a,IND2_b,IND4_b,IND5_b,IND8_b,IND9_b,INF1_b,INF4-UP_b
11,1,C1: Intermediário,4321832,Três Forquilhas,RS,4322152,Tunas,RS,0.5418560085336154,10.641749066977965,19.639440884188954,IND5,3.0101754085232506,-0.1090505575783868,-0.0064836003746139,0.805459340293201,-0.1831846135285703,-0.3141051281777489,0.5447654782853376,0.9928075685963172,-0.3661910361725519,-4.054627871998782,-4.312497931963389,0.3385826821654886,-0.0053403795972648,1.9314120539937352,-0.6143784682907917
12,1,C1: Intermediário,3113800,Carmésia,MG,3149606,Pequi,MG,0.6240220420500545,12.020862063982285,19.26352153399501,IND5,0.9061535559009944,-0.6244387348060818,1.096325749050172,-0.7857081403817544,-4.20162937971753,-0.0053869777478667,0.4658951354914887,-0.2760140750981765,3.894708294732922,-0.943107506274586,0.754951306929268,0.6025674140244962,1.200186942737945,-0.854844034216893,2.073212636733004
13,1,C1: Intermediário,4315156,Progresso,RS,4322152,Tunas,RS,0.6174847422715644,11.732538867572519,19.0005323943893,IND5,3.1906974203352765,-0.5477296204350086,0.774293180863804,1.1123862856598177,-0.0919935616138756,-1.606788811828925,0.3604504296247778,1.2919362576898694,-0.3661910361725519,-4.054627871998782,-4.312497931963389,0.3385826821654886,-0.0053403795972648,1.9314120539937352,-0.6143784682907917
14,1,C1: Intermediário,4317558,Santo Antônio do Palma,RS,4317954,Santo Expedito do Sul,RS,0.556435831492559,10.559619741217064,18.977246116439265,INF1,0.4444322909730899,-0.0318636701766288,0.2971338702150304,0.779698329410148,-1.3103397754496926,-5.284542946211208,-0.8677228000449447,-0.6061644350803328,-0.3639841797927218,1.2093340360844866,0.8655440766677309,-0.3826591251534898,0.3051151002941978,8.523061028105163,-0.6195366907761776
15,1,C1: Intermediário,4313391,Novo Cabrais,RS,4322152,Tunas,RS,0.6212398099497333,11.503603297393918,18.517170172670593,IND5,3.0669493908411667,0.4181757736318333,0.353438171106214,0.9019875408944728,0.4046965145031175,0.2614016288684764,-1.1671705607418903,2.0271107601676186,-0.3661910361725519,-4.054627871998782,-4.312497931963389,0.3385826821654886,-0.0053403795972648,1.9314120539937352,-0.6143784682907917
16,1,C1: Intermediário,4301073,Arroio do Padre,RS,4322152,Tunas,RS,0.5548837027890827,10.102669075221437,18.206822449883248,IND5,2.2579723467919357,2.012493001478944,0.9164121498509712,-0.4734505594757581,-0.0395193837387914,-2.0795832572978163,2.102982546291808,-0.5151547393698309,-0.3661910361725519,-4.054627871998782,-4.312497931963389,0.3385826821654886,-0.0053403795972648,1.9314120539937352,-0.6143784682907917
17,1,C1: Intermediário,4305124,Cerrito,RS,4322152,Tunas,RS,0.6499947013993091,11.691931981275909,17.987734266322132,IND5,3.1781889475482297,-0.0109781634066896,0.9744907773739272,1.0911191431922973,0.1041381732658226,-0.7190854395027552,0.3074987749181099,0.5899008447754818,-0.3661910361725519,-4.054627871998782,-4.312497931963389,0.3385826821654886,-0.0053403795972648,1.9314120539937352,-0.6143784682907917
18,1,C1: Intermediário,4310702,Itatiba do Sul,RS,4322152,Tunas,RS,0.6495756652045553,11.492718495777556,17.69265551914691,IND5,3.162658847060215,-0.1580412524708371,0.751778357678979,1.0647145720478846,-0.2227685122940619,-0.9069396138455924,1.0782375505536073,0.9009395797076392,-0.3661910361725519,-4.054627871998782,-4.312497931963389,0.3385826821654886,-0.0053403795972648,1.9314120539937352,-0.6143784682907917
19,1,C1: Intermediário,4307450,Esperança do Sul,RS,4322152,Tunas,RS,0.6562718297402174,11.170188609626234,17.020673578244605,IND5,3.106537523396997,-0.2226316160000935,0.1386302023729982,0.9692960340591836,0.6812697292543605,-0.4845997708679856,1.95420426043405,2.6458180621890497,-0.3661910361725519,-4.054627871998782,-4.312497931963389,0.3385826821654886,-0.0053403795972648,1.9314120539937352,-0.6143784682907917
20,2,C2: Nordeste Vulnerável,2106672,Milagres do Maranhão,MA,2205409,Joaquim Pires,PI,0.4458106323345935,7.544005437245815,16.92199528938518,IND8,0.25084863477291064,3.925769229501615,-0.5933535317014217,0.7939326983745975,-4.20162937971753,0.6080930742638448,0.2819246659984742,0.3825931561462959,0.104529154535556,-0.8153519187789717,0.5023455119364972,0.5274632696753518,0.483721699473996,-1.028975612144584,0.3925892360229949
21,1,C1: Intermediário,4310850,Jaboticaba,RS,4322152,Tunas,RS,0.6438087755019991,10.865878916276905,16.877494238762004,IND5,2.7544205193481663,1.450495410813324,0.6614577907255488,0.3706200311743514,0.5545416247026775,0.2722801773195821,-0.6763442907666454,-0.7219481678098322,-0.3661910361725519,-4.054627871998782,-4.312497931963389,0.3385826821654886,-0.0053403795972648,1.9314120539937352,-0.6143784682907917
22,1,C1: Intermediário,3140605,Materlândia,MG,3147956,Patis,MG,0.5933267116012643,10.011851451295776,16.874095230605402,IND5,0.933809241350846,0.4873163565009459,1.222921522681805,-0.9771925942099982,-4.20162937971753,0.1596400358125539,-0.713157319116475,-0.7671933961175473,0.2668127272915219,-0.8441413561947262,0.6104875735768276,0.6812697292543605,0.2330940763773376,-0.4404246483026866,0.6834826124610979
23,2,C2: Nordeste Vulnerável,2111953,Sucupira do Riachão,MA,2207777,Patos do Piauí,PI,0.5323222730536858,8.974743493476717,16.85960541371522,INF1,0.37449265833292134,1.7823429072690258,0.9703049540414368,0.7157717352067281,-4.20162937971753,-0.948894953379424,-1.7196417421393082,1.9688456546098376,0.4235450324528634,0.1315687432594719,0.4399258211796018,-0.127327833499435,0.3051151002941978,6.224381522800696,-0.6178531150000649
